link,sumber
https://beritakini.co.id/detail/119158/jadwal-dan-rute-baru-damri-jogja-semarang-pp-memudahkan-wisatawan,beritakini.co.id
https://tintapena.id/2025/06/02/rute-baru-damri-pangkalpinang-batu-belimbing-resmi-dibuka-dukung-wisata-ke-toboali/,tintapena.id
https://otodriver.com/mobility/bus/2025/keliling-wisata-di-banyuwangi-bisa-naik-angkutan-gratis-ini-rute-dan-syaratnya-kelebjdenya,otodriver.com
https://www.kompas.tv/lifestyle/574805/damri-aktifkan-lagi-angkutan-perintis-di-banten-layani-rute-ke-baduy-hingga-ujung-kulon?page=all,kompas.tv
https://www.kompas.tv/lifestyle/587294/rute-dan-jadwal-damri-kawasan-bromo-berangkat-dari-surabaya-malang-tiket-mulai-rp12-000?page=all,kompas.tv
https://denpasar.finansialinsight.com/detail/460440/damri-luncurkan-rute-baru-jogja-semarang-di-sektor-pariwisata,denpasar.finansialinsight.com
https://www.kompas.tv/lifestyle/621398/rute-baru-damri-hubungkan-bandara-minangkabau-dengan-destinasi-unggulan-sumbar,kompas.tv
https://www.kompas.tv/lifestyle/604258/jadwal-dan-harga-tiket-damri-terminal-genteng-baru-kawah-ijen-via-stasiun-ka-banyuwangi-kota,kompas.tv
https://grandwisatabekasi.com/id/facilities/public-transport/,grandwisatabekasi.com
https://medan.insiderindonesia.com/detail/1275262/damri-luncurkan-rute-baru-jogja-semarang-di-sektor-pariwisata,medan.insiderindonesia.com
https://pontianak.beritaenergi.id/detail/959310/damri-hadirkan-rute-strategis-jogja-semarang,pontianak.beritaenergi.id
https://beritakini.co.id/detail/119149/wisata-pantai-sendang-asih-kendal-kini-lebih-nyaman-dan-modern,beritaterkini.co.id
https://www.hariankepri.com/kepri-dapat-dua-bus-damri-untuk-pariwisata-ansar-ini-makin-memudahkan-wisatawan/,hariankepri.com
https://www.majalahlintas.com/damri-rute-jakarta-surabaya-malang-jadwal-keberangkatan-dan-tarifnya/,majalahlintas.com
https://www.malangtimes.com/baca/59317/20201023/210100/dukung-sektor-wisata-bus-damri-buka-trayek-malang-balekambang-sendangbiru-tiket-hanya-rp-50-ribu,malangtimes.com
https://kabarjawa.com/berita/jadwal-bus-damri-jogja-semarang-hari-ini-rute-baru-bisa-beli-tiket-online,kabarjawa.com
https://bisnis.espos.id/mau-ke-gunung-bromo-damri-buka-rute-dan-segini-tarifnya-1328394-1328394,bisnis.espos.id
https://www.idntimes.com/travel/tips/rute-bus-damri-kota-bandung-00-p3rq2-t29szr,IDN Times
https://rri.co.id/mataram/daerah/1849720/pemkab-lotim-dorong-pengoperasian-kembali-bus-damri-ke-bil,RRI
https://beritakini.co.id/detail/119158/jadwal-dan-rute-baru-damri-jogja-semarang-pp-memudahkan-wisatawan,berita terkini
https://tintapena.id/2025/06/02/rute-baru-damri-pangkalpinang-batu-belimbing-resmi-dibuka-dukung-wisata-ke-toboali/,tintapena
https://www.kabarbumn.com/trending/11577161/jadwal-dan-rute-bus-wisata-damri-di-yogyakarta,kabar bumn
https://glints.com/id/lowongan/damri-adalah/,glints
https://otodriver.com/berita/2024/damri-buka-rute-ke-kawasan-wisata-pulau-derawan-dameaeccwan,otodriver
https://prfmnews.pikiran-rakyat.com/pariwisata/pr-137461521/transportasi-umum-damri-rute-malang-bromo-pp-jadwal-harga-tiket-lokasi-keberangkatan?page=all,radio prfm
https://denpasar.finansialinsight.com/detail/460440/damri-luncurkan-rute-baru-jogja-semarang-di-sektor-pariwisata,finansial insght
https://mobilkomersial.com/2024/07/04/damri-tambah-bus-royal-class-baru-dari-karoseri-tentrem-pakai-bodi-avante-h7/,mobil komersial
https://industri.kontan.co.id/news/damri-hadir-di-kepulauan-derawan-keliling-tempat-wisata-cuma-bayar-tiket-rp-50000,kontan .co .id
https://grandwisatabekasi.com/id/facilities/public-transport/,grand wisata bekasi
https://medan.insiderindonesia.com/detail/1275262/damri-luncurkan-rute-baru-jogja-semarang-di-sektor-pariwisata,insider indonesia
https://lifestyle.fin.co.id/2024/12/09/rute-dan-tarif-damri-wisata-ke-gunung-bromo-lengkap-dengan-jadwal-keberangkatan,fin lifestyle
https://pontianak.beritaenergi.id/detail/959310/damri-hadirkan-rute-strategis-jogja-semarang,berita energi
https://beritakini.co.id/detail/119149/wisata-pantai-sendang-asih-kendal-kini-lebih-nyaman-dan-modern,berita kini
http://kota-wisata.com/news/informasi-jadwal-bus-kota-wisata,kota wisata
https://www.majalahlintas.com/damri-rute-jakarta-surabaya-malang-jadwal-keberangkatan-dan-tarifnya/,majalaj lintas
https://www.malangtimes.com/baca/59317/20201023/210100/dukung-sektor-wisata-bus-damri-buka-trayek-malang-balekambang-sendangbiru-tiket-hanya-rp-50-ribu,malang times
https://kabarjawa.com/berita/jadwal-bus-damri-jogja-semarang-hari-ini-rute-baru-bisa-beli-tiket-online,kabar jawa
https://bisnis.espos.id/mau-ke-gunung-bromo-damri-buka-rute-dan-segini-tarifnya-1328394-1328394,espos.id
